"","date","cases","lag3_monthly_dtr","time"
"1",2010-01-01,1045,5.63356008522501,0
"2",2010-02-01,523,5.84372426995885,31
"3",2010-03-01,782,6.87392129510155,59
"4",2010-04-01,741,6.48055919235364,90
"5",2010-05-01,923,8.02879484920635,120
"6",2010-06-01,1520,8.05363949342891,151
"7",2010-07-01,3616,8.20810837942387,181
"8",2010-08-01,4346,7.07025268418957,212
"9",2010-09-01,3993,5.48706157777778,243
"10",2010-10-01,3382,5.37096686818001,273
"11",2010-11-01,2511,5.43925502508961,304
"12",2010-12-01,1729,5.99979753168724,334
"13",2011-01-01,1255,5.11093061569096,365
"14",2011-02-01,713,5.61342141646091,396
"15",2011-03-01,771,5.83162559139785,424
"16",2011-04-01,628,6.65326796415771,455
"17",2011-05-01,1061,7.70472979453263,485
"18",2011-06-01,1916,6.23567739227399,516
"19",2011-07-01,3343,6.49537125596708,546
"20",2011-08-01,3698,5.79382687216248,577
"21",2011-09-01,3112,5.11388635390946,608
"22",2011-10-01,2758,5.30365869295102,638
"23",2011-11-01,2190,5.44362926642772,669
"24",2011-12-01,1534,4.79564118271605,699
"25",2012-01-01,991,5.91539656232577,730
"26",2012-02-01,918,5.89741386419753,761
"27",2012-03-01,1002,5.99477161051374,790
"28",2012-04-01,1062,6.35336281083234,821
"29",2012-05-01,1742,7.33533893912303,851
"30",2012-06-01,2416,7.58913913819196,882
"31",2012-07-01,2600,6.60950676296296,912
"32",2012-08-01,2773,5.41206762405416,943
"33",2012-09-01,2104,5.02517479341564,974
"34",2012-10-01,2060,4.98468187096774,1004
"35",2012-11-01,1753,5.16640122978893,1035
"36",2012-12-01,1138,4.8276286345679,1065
"37",2013-01-01,722,5.90475426602947,1096
"38",2013-02-01,397,5.47535330205761,1127
"39",2013-03-01,546,6.49763221346077,1155
"40",2013-04-01,505,6.41131690561529,1186
"41",2013-05-01,559,7.76188158024691,1216
"42",2013-06-01,877,8.29817268020709,1247
"43",2013-07-01,1084,6.33898548888889,1277
"44",2013-08-01,967,5.80212513739546,1308
"45",2013-09-01,788,4.79518208641975,1339
"46",2013-10-01,739,4.88747434010354,1369
"47",2013-11-01,716,5.09284706889685,1400
"48",2013-12-01,593,5.33262472510288,1430
"49",2014-01-01,314,5.94496515093588,1461
"50",2014-02-01,223,5.7614915909465,1492
"51",2014-03-01,364,6.3381451469534,1520
"52",2014-04-01,336,7.89003693508562,1551
"53",2014-05-01,357,8.30991223015873,1581
"54",2014-06-01,312,8.34468199442453,1612
"55",2014-07-01,383,7.79554667325103,1642
"56",2014-08-01,600,6.41263243647949,1673
"57",2014-09-01,614,5.04523512510288,1704
"58",2014-10-01,736,4.72363048347272,1734
"59",2014-11-01,707,5.58386422381521,1765
"60",2014-12-01,564,5.67583697695473,1795
"61",2015-01-01,460,5.77402462763839,1826
"62",2015-02-01,247,5.85057097201646,1857
"63",2015-03-01,280,5.98192823416965,1885
"64",2015-04-01,308,7.5874867471127,1916
"65",2015-05-01,352,8.20513908906526,1946
"66",2015-06-01,444,8.15691511907606,1977
"67",2015-07-01,756,7.85828183127572,2007
"68",2015-08-01,1139,7.45410265949821,2038
"69",2015-09-01,1391,5.90215763292181,2069
"70",2015-10-01,1732,5.21281922341697,2099
"71",2015-11-01,1670,5.35414925368379,2130
"72",2015-12-01,1393,5.38947419917695,2160
"73",2016-01-01,1146,5.93785265073676,2191
"74",2016-02-01,805,5.56029808395062,2222
"75",2016-03-01,909,6.16101784468339,2251
"76",2016-04-01,965,7.2641457037037,2282
"77",2016-05-01,781,8.28789497573436,2312
"78",2016-06-01,732,8.71177814257268,2343
"79",2016-07-01,999,8.71849189876543,2373
"80",2016-08-01,1410,6.56384770927917,2404
"81",2016-09-01,1774,5.36405404197531,2435
"82",2016-10-01,1807,5.52156983671844,2465
"83",2016-11-01,1780,4.71640164715253,2496
"84",2016-12-01,1266,5.01220750699588,2526
"85",2017-01-01,1078,4.73030976503385,2557
"86",2017-02-01,1006,5.56341810534979,2588
"87",2017-03-01,1080,4.9873756344086,2616
"88",2017-04-01,1079,5.66651596256472,2647
"89",2017-05-01,1235,6.70461650440917,2677
"90",2017-06-01,1742,7.22435266348069,2708
"91",2017-07-01,2200,6.68394558436214,2738
"92",2017-08-01,2284,5.69578210832338,2769
"93",2017-09-01,1805,5.236906018107,2800
"94",2017-10-01,1189,4.70121628912784,2830
"95",2017-11-01,825,5.15574929669454,2861
"96",2017-12-01,545,5.71926423539095,2891
"97",2018-01-01,541,5.65325290561529,2922
"98",2018-02-01,278,5.5006617909465,2953
"99",2018-03-01,368,5.85498013221824,2981
"100",2018-04-01,419,5.95339769095978,3012
"101",2018-05-01,529,7.41612899823633,3042
"102",2018-06-01,757,7.59321085862206,3073
"103",2018-07-01,958,7.50165164691358,3103
"104",2018-08-01,1232,6.44104130943847,3134
"105",2018-09-01,1611,5.09847749465021,3165
"106",2018-10-01,2168,4.55483672640382,3195
"107",2018-11-01,1829,4.94462982397451,3226
"108",2018-12-01,1473,5.3434849654321,3256
"109",2019-01-01,1401,5.84960587096774,3287
"110",2019-02-01,1081,5.56736573662551,3318
"111",2019-03-01,1208,5.70231100119474,3346
"112",2019-04-01,958,6.1825544516129,3377
"113",2019-05-01,1046,7.43747547442681,3407
"114",2019-06-01,1690,8.17757222062923,3438
"115",2019-07-01,3416,7.87891961152263,3468
"116",2019-08-01,4501,6.1435193389088,3499
"117",2019-09-01,4840,5.18736870123457,3530
"118",2019-10-01,3957,5.07452132058941,3560
"119",2019-11-01,2930,4.87458283632019,3591
"120",2019-12-01,1735,5.39073344279835,3621
"121",2020-01-01,1081,6.15525913261649,3652
"122",2020-02-01,758,6.15043660740741,3683
"123",2020-03-01,612,7.41948702349661,3712
"124",2020-04-01,455,7.94560291995221,3743
"125",2020-05-01,661,8.4296276449553,3773
"126",2020-06-01,693,8.09113101712465,3804
"127",2020-07-01,1617,7.23871167325103,3834
"128",2020-08-01,2268,7.04456276622859,3865
"129",2020-09-01,2464,5.3266972781893,3896
"130",2020-10-01,1859,5.49393015053763,3926
"131",2020-11-01,1573,5.51710054241338,3957
"132",2020-12-01,1314,5.51208444526749,3987
"133",2021-01-01,1144,4.82532399442453,4018
"134",2021-02-01,662,5.93247467325103,4049
"135",2021-03-01,791,5.86603857745918,4077
"136",2021-04-01,746,7.19015201831939,4108
"137",2021-05-01,919,7.94207401851852,4138
"138",2021-06-01,1153,8.25895970211071,4169
"139",2021-07-01,835,6.70383589382716,4199
"140",2021-08-01,483,5.75273522500996,4230
"141",2021-09-01,306,5.43453532016461,4261
"142",2021-10-01,292,4.97034382954998,4291
"143",2021-11-01,257,5.43569379370769,4322
"144",2021-12-01,185,5.30959510205761,4352
"145",2022-01-01,275,5.1940534958184,4383
"146",2022-02-01,346,4.77094066995885,4414
"147",2022-03-01,434,6.57675524571884,4442
"148",2022-04-01,858,7.44786271604938,4473
"149",2022-05-01,2876,7.15238367989418,4503
"150",2022-06-01,7005,7.27782437275986,4534
"151",2022-07-01,8308,6.26925924444444,4564
"152",2022-08-01,8900,5.18103980406213,4595
"153",2022-09-01,7725,5.80040706008231,4626
"154",2022-10-01,6169,4.99124319235364,4656
"155",2022-11-01,3769,5.50126533811231,4687
"156",2022-12-01,2298,5.16284116625514,4717
"157",2023-01-01,1642,5.63371602628435,4748
"158",2023-02-01,1644,5.41232881893004,4779
"159",2023-03-01,1553,6.69957539386699,4807
"160",2023-04-01,1108,6.15836310872163,4838
"161",2023-05-01,740,7.44891479365079,4868
"162",2023-06-01,814,8.54514805336519,4899
"163",2023-07-01,1253,7.40363426666667,4929
"164",2023-08-01,1541,5.87598438152131,4960
"165",2023-09-01,1470,5.24242293168724,4991
"166",2023-10-01,1400,4.74514454241338,5021
"167",2023-11-01,1142,5.28628254878535,5052
"168",2023-12-01,873,5.23104078600823,5082
"169",2024-01-01,830,5.8121193914775,5113
"170",2024-02-01,559,5.68429316296296,5144
"171",2024-03-01,532,6.16356470330546,5173
"172",2024-04-01,487,7.26587984627638,5204
"173",2024-05-01,362,7.93193960238399,5234
"174",2024-06-01,376,8.05010244364795,5265
"175",2024-07-01,738,8.35307162057613,5295
"176",2024-08-01,1075,6.24717537554759,5326
"177",2024-09-01,1144,5.3617010600823,5357
"178",2024-10-01,1310,4.68538905694942,5387
"179",2024-11-01,1329,5.56986507925129,5418
"180",2024-12-01,1070,4.75855942139918,5448
